Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2016-11-17,1734.938232421875,4675.1123046875,-37.83601760864258,144.94415283203125,-37.808921813964844,145.19027709960938,2.5398151874542236,20.393539428710938,0.6053098440170288,7336,,,,,72381484,4750604,
2016-11-18,1805.837890625,4841.28759765625,-37.89702606201172,144.96530151367188,-37.807838439941406,145.18844604492188,4.277584075927734,28.020002365112305,0.511957049369812,9535,,,,,70621832,6045659,
2016-11-19,1660.60986328125,2871.306640625,-37.903263092041016,144.95504760742188,-37.7784309387207,145.18844604492188,6.901385307312012,30.370006561279297,0.5108815431594849,5798,,,,,65587010,3286712,
2016-11-20,1510.606201171875,108.1972885131836,-37.8808708190918,145.1413116455078,-37.817012786865234,145.21543884277344,2.3061106204986572,30.540081024169922,0.5015974640846252,567,,,,,81315040,426309,
2016-11-21,1626.19873046875,2238.07568359375,-37.83485412597656,144.9725799560547,-37.80696487426758,145.18844604492188,7.691765785217285,21.860010147094727,0.5063595175743103,4091,,,,,78888855,2630523,
2016-11-22,1717.24365234375,3432.86962890625,-37.83727264404297,144.96871948242188,-37.811248779296875,145.1918182373047,8.32065200805664,19.630844116210938,0.5100980401039124,6508,,,,,72777128,4366649,
2016-11-23,1604.9862060546875,1335.681396484375,-37.83485412597656,144.97120666503906,-37.81077194213867,145.18844604492188,6.254387378692627,17.760000228881836,0.5300942659378052,2648,,,,,78945551,2226023,
2016-11-24,1688.19873046875,3552.167236328125,-37.836063385009766,144.9626007080078,-37.809574127197266,145.18844604492188,3.7209553718566895,19.700000762939453,0.5069516897201538,6321,,,,,76214806,3803850,
2016-11-25,1862.9266357421875,6240.623046875,-37.82877731323242,144.94483947753906,-37.768272399902344,145.19271850585938,1.8258581161499023,28.60021209716797,0.5069516897201538,12362,,,,,66434824,7139089,
2016-11-26,1631.105224609375,1643.3526611328125,-37.975799560546875,145.0874481201172,-37.81502151489258,145.19427490234375,4.232948303222656,28.540176391601562,0.5099999904632568,4612,,,,,69244926,2724084,
2016-11-27,1708.343994140625,3162.440185546875,-37.8382568359375,144.93576049804688,-37.77965545654297,145.18844604492188,4.76016092300415,33.36000061035156,0.5140038728713989,6720,,,,,66780736,4009390,
2016-11-28,1679.6766357421875,3074.774658203125,-37.83485412597656,144.96836853027344,-37.79800796508789,145.18844604492188,5.37175989151001,28.47050666809082,0.5199999809265137,5701,,,,,74079955,3345594,132750
